,SETTLEMENTDATE,SA1_Price,SA1_Demand,AGLHAL_SA1_Natural Gas,ANGASTON_SA1_Diesel,CLEMGPWF_SA1_Wind,QUARANTN_SA1_Natural Gas,LONSDALE_SA1_Diesel,STANVAC_SA1_Diesel,HORNSDPR_SA1_Battery Storage,BNGSF1_SA1_Solar,BARKIPS_SA1_Natural Gas,ADP_SA1_Battery Storage,MAPS2_SA1_Solar,BOLIVAR_SA1_Battery Storage,CATHROCK_SA1_Wind,STARFHILL_SA1_Wind,HVWW_SA1_Solar
0,2022-07-01 00:04:59,379.96,1654.1,0.0,36.0,44.60929,0.0,2.02342,0.0,0,0.0,111.05,0,0.0,0,2.961,13.59604,0.0
1,2022-07-01 00:09:59,365.35543,1621.37,0.0,0.0,48.5217,0.0,0.0,0.0,0,0.0,79.59,0,0.0,0,5.017,16.69513,0.0
2,2022-07-01 00:14:59,374.62919,1642.13,0.0,0.0,48.17684,0.0,0.0,0.0,0,0.0,52.03,0,0.0,0,6.045,16.39522,0.0
3,2022-07-01 00:19:59,379.53476,1619.22,0.0,0.0,48.06833,0.0,0.0,0.0,0,0.0,22.77,0,0.0,0,4.573,16.29525,0.0
4,2022-07-01 00:24:59,369.74124,1633.8,0.0,0.0,43.18745,0.0,0.0,0.0,0,0.0,9.0,0,0.0,0,3.379,14.09589,0.0
5,2022-07-01 00:29:59,365.33332,1615.47,0.0,0.0,43.72072,0.0,0.0,0.0,0,0.0,9.0,0,0.0,0,4.443,11.29671,0.0
6,2022-07-01 00:34:59,373.22645,1623.13,0.0,0.0,41.7958,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,5.112,7.69776,0.0
7,2022-07-01 00:39:59,375.72339,1624.35,0.0,0.0,38.30053,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,5.68,7.09793,0.0
8,2022-07-01 00:44:59,371.86915,1617.65,0.0,0.0,36.46007,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,6.88,7.29787,0.0
9,2022-07-01 00:49:59,369.39022,1596.11,0.0,0.0,35.59925,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,5.301,6.19819,0.0
10,2022-07-01 00:54:59,370.03018,1607.18,0.0,0.0,33.73106,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,4.542,6.19819,0.0
11,2022-07-01 00:59:59,364.44866,1590.47,0.0,0.0,33.90834,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,4.028,3.89886,0.0
12,2022-07-01 01:04:59,358.07442,1568.13,0.0,0.0,32.65969,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,5.147,5.19848,0.0
13,2022-07-01 01:09:59,350.55547,1575.92,0.0,0.0,29.99518,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,5.466,4.49869,0.0
14,2022-07-01 01:14:59,360.08819,1565.97,0.0,0.0,27.67622,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,5.612,4.69863,0.0
15,2022-07-01 01:19:59,358.66359,1559.15,0.0,0.0,25.77653,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,6.776,4.7986,0.0
16,2022-07-01 01:24:59,358.21064,1543.57,0.0,0.0,24.082,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,8.198,4.89857,0.0
17,2022-07-01 01:29:59,359.83698,1527.23,0.0,0.0,23.67323,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,10.083,4.99854,0.0
18,2022-07-01 01:34:59,347.61647,1501.34,0.0,0.0,22.57589,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,11.518,5.39843,0.0
19,2022-07-01 01:39:59,355.31713,1542.78,0.0,0.0,21.91323,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,10.335,4.59866,0.0
20,2022-07-01 01:44:59,355.39454,1524.66,0.0,0.0,21.72517,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,10.076,4.29875,0.0
